threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.16666666666666666,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2222222222222222,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2777777777777778,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.3333333333333333,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.38888888888888884,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.4444444444444444,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.5,0.8282828282828283,0.9647058823529412,0.8913043478260869,0.8373983739837398
0.5555555555555556,0.8333333333333334,0.9411764705882353,0.8839779005524863,0.8292682926829268
0.611111111111111,0.0,0.0,0.0,0.3089430894308943
0.6666666666666666,0.0,0.0,0.0,0.3089430894308943
0.7222222222222222,0.0,0.0,0.0,0.3089430894308943
0.7777777777777777,0.0,0.0,0.0,0.3089430894308943
0.8333333333333333,0.0,0.0,0.0,0.3089430894308943
0.8888888888888888,0.0,0.0,0.0,0.3089430894308943
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
