threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6967213114754098,1.0,0.821256038647343,0.6991869918699187
0.16666666666666666,0.7456140350877193,1.0,0.8542713567839196,0.7642276422764228
0.2222222222222222,0.7657657657657657,1.0,0.8673469387755102,0.7886178861788617
0.2777777777777778,0.7757009345794392,0.9764705882352941,0.8645833333333333,0.7886178861788617
0.3333333333333333,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.38888888888888884,0.8282828282828283,0.9647058823529412,0.8913043478260869,0.8373983739837398
0.4444444444444444,0.826530612244898,0.9529411764705882,0.8852459016393441,0.8292682926829268
0.5,0.8247422680412371,0.9411764705882353,0.879120879120879,0.8211382113821138
0.5555555555555556,0.8247422680412371,0.9411764705882353,0.879120879120879,0.8211382113821138
0.611111111111111,0.8387096774193549,0.9176470588235294,0.8764044943820225,0.8211382113821138
0.6666666666666666,0.8372093023255814,0.8470588235294118,0.8421052631578947,0.7804878048780488
0.7222222222222222,0.821917808219178,0.7058823529411765,0.759493670886076,0.6910569105691057
0.7777777777777777,0.8148148148148148,0.5176470588235295,0.6330935251798562,0.5853658536585366
0.8333333333333333,0.8846153846153846,0.27058823529411763,0.4144144144144144,0.4715447154471545
0.8888888888888888,1.0,0.058823529411764705,0.1111111111111111,0.34959349593495936
0.9444444444444444,1.0,0.011764705882352941,0.023255813953488372,0.3170731707317073
1.0,0.0,0.0,0.0,0.3089430894308943
