threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.717948717948718,0.9882352941176471,0.8316831683168316,0.7235772357723578
0.1111111111111111,0.8118811881188119,0.9647058823529412,0.881720430107527,0.8211382113821138
0.16666666666666666,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.2222222222222222,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.2777777777777778,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.3333333333333333,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.38888888888888884,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.4444444444444444,0.8181818181818182,0.9529411764705882,0.8804347826086957,0.8211382113821138
0.5,0.8181818181818182,0.9529411764705882,0.8804347826086957,0.8211382113821138
0.5555555555555556,0.8152173913043478,0.8823529411764706,0.847457627118644,0.7804878048780488
0.611111111111111,0.813953488372093,0.8235294117647058,0.8187134502923977,0.7479674796747967
0.6666666666666666,0.8148148148148148,0.7764705882352941,0.7951807228915663,0.7235772357723578
0.7222222222222222,0.8571428571428571,0.6352941176470588,0.7297297297297296,0.6747967479674797
0.7777777777777777,0.92,0.5411764705882353,0.6814814814814815,0.6504065040650406
0.8333333333333333,0.9473684210526315,0.4235294117647059,0.5853658536585366,0.5853658536585366
0.8888888888888888,0.9375,0.17647058823529413,0.29702970297029707,0.42276422764227645
0.9444444444444444,1.0,0.011764705882352941,0.023255813953488372,0.3170731707317073
1.0,0.0,0.0,0.0,0.3089430894308943
