threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.7024793388429752,1.0,0.8252427184466019,0.7073170731707317
0.16666666666666666,0.7589285714285714,1.0,0.8629441624365483,0.7804878048780488
0.2222222222222222,0.7830188679245284,0.9764705882352941,0.8691099476439791,0.7967479674796748
0.2777777777777778,0.82,0.9647058823529412,0.8864864864864864,0.8292682926829268
0.3333333333333333,0.826530612244898,0.9529411764705882,0.8852459016393441,0.8292682926829268
0.38888888888888884,0.826530612244898,0.9529411764705882,0.8852459016393441,0.8292682926829268
0.4444444444444444,0.826530612244898,0.9529411764705882,0.8852459016393441,0.8292682926829268
0.5,0.826530612244898,0.9529411764705882,0.8852459016393441,0.8292682926829268
0.5555555555555556,0.8247422680412371,0.9411764705882353,0.879120879120879,0.8211382113821138
0.611111111111111,0.8279569892473119,0.9058823529411765,0.8651685393258428,0.8048780487804879
0.6666666666666666,0.8414634146341463,0.8117647058823529,0.8263473053892215,0.7642276422764228
0.7222222222222222,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.6341463414634146
0.7777777777777777,0.8333333333333334,0.35294117647058826,0.49586776859504134,0.5040650406504065
0.8333333333333333,0.9130434782608695,0.24705882352941178,0.3888888888888889,0.4634146341463415
0.8888888888888888,1.0,0.023529411764705882,0.04597701149425288,0.3252032520325203
0.9444444444444444,0.0,0.0,0.0,0.3089430894308943
1.0,0.0,0.0,0.0,0.3089430894308943
