threshold,precision,recall,f1,accuracy
0.0,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.05555555555555555,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.1111111111111111,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.16666666666666666,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2222222222222222,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.2777777777777778,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.3333333333333333,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.38888888888888884,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.4444444444444444,0.6910569105691057,1.0,0.8173076923076924,0.6910569105691057
0.5,0.711864406779661,0.9882352941176471,0.8275862068965517,0.7154471544715447
0.5555555555555556,0.7345132743362832,0.9764705882352941,0.8383838383838383,0.7398373983739838
0.611111111111111,0.7547169811320755,0.9411764705882353,0.837696335078534,0.7479674796747967
0.6666666666666666,0.7912087912087912,0.8470588235294118,0.8181818181818181,0.7398373983739838
0.7222222222222222,0.8088235294117647,0.6470588235294118,0.7189542483660131,0.6504065040650406
0.7777777777777777,0.8070175438596491,0.5411764705882353,0.6478873239436619,0.5934959349593496
0.8333333333333333,0.8095238095238095,0.4,0.5354330708661417,0.5203252032520326
0.8888888888888888,0.7916666666666666,0.2235294117647059,0.3486238532110092,0.42276422764227645
0.9444444444444444,1.0,0.08235294117647059,0.15217391304347827,0.36585365853658536
1.0,0.0,0.0,0.0,0.3089430894308943
